"","Cast.Ballot","Represented","Close.To.Party","Contacted","log.Magnitude","Age","Age.Squared.by.100","Male","Education","Married","Union.Member","Household.Income","Rural","Small.Town","Suburb","White.Collar","Worker","Hakka","MinNan","Mainlander"
"59346",0,1,1,1,2.19722457733622,42,17.64,1,5,1,1,4,0,0,1,0,1,0,1,0
"59347",1,NA,0,1,2.19722457733622,48,23.04,0,3,1,0,4,0,0,1,NA,NA,0,0,1
"59348",1,1,0,1,1.38629436111989,74,54.76,1,6,1,0,NA,0,1,0,NA,NA,0,1,0
"59349",1,NA,1,0,2.19722457733622,73,53.29,0,1,1,0,NA,1,0,0,NA,NA,0,1,0
"59350",1,0,0,1,2.30258509299405,49,24.01,0,6,1,0,3,0,0,0,NA,NA,0,1,0
"59351",1,1,1,1,1.38629436111989,41,16.81,1,7,1,1,2,0,1,0,1,0,0,1,0
"59352",1,1,1,0,1.38629436111989,51,26.01,0,3,1,0,1,0,1,0,NA,NA,0,1,0
"59353",0,0,0,0,1.38629436111989,54,29.16,0,1,1,0,NA,0,1,0,NA,NA,0,1,0
"59354",1,0,0,0,1.38629436111989,41,16.81,0,2,1,0,NA,0,1,0,0,0,0,1,0
"59355",1,0,0,1,1.38629436111989,36,12.96,0,3,1,0,3,0,1,0,1,0,0,1,0
"59356",1,1,0,1,2.30258509299405,76,57.76,1,8,1,1,2,0,0,0,NA,NA,0,0,1
"59357",1,0,0,1,1.70474809223843,51,26.01,1,6,1,1,3,0,0,0,1,0,0,1,0
"59358",1,1,1,1,1.94591014905531,24,5.76,1,8,0,0,4,0,0,1,NA,NA,0,1,0
"59359",0,0,0,1,0,24,5.76,1,7,0,0,2,0,0,1,1,0,0,1,0
"59360",1,1,0,1,2.56494935746154,45,20.25,1,6,1,1,2,0,0,1,0,1,1,0,0
"59361",1,0,0,1,1.38629436111989,28,7.84,0,6,1,0,1,0,1,0,NA,NA,0,1,0
"59362",1,1,1,1,2.19722457733622,41,16.81,1,6,1,0,1,1,0,0,0,1,0,1,0
"59363",1,0,0,0,2.19722457733622,25,6.25,0,6,1,0,NA,1,0,0,1,0,0,1,0
"59364",1,0,0,0,2.19722457733622,30,9,1,6,0,0,5,0,0,1,1,0,0,0,1
"59365",1,0,0,0,0,49,24.01,0,3,1,0,1,0,0,1,0,1,0,1,0
"59366",1,0,0,0,1.38629436111989,39,15.21,0,5,1,1,2,1,0,0,0,1,0,1,0
"59367",1,0,0,1,1.94591014905531,44,19.36,0,3,1,0,NA,1,0,0,1,0,1,0,0
"59368",0,0,1,1,1.94591014905531,39,15.21,1,7,1,0,2,1,0,0,0,1,0,0,1
"59369",1,1,1,1,1.94591014905531,29,8.41,0,6,1,0,3,0,0,1,1,0,0,1,0
"59370",1,1,1,1,1.94591014905531,51,26.01,1,7,1,1,3,0,0,1,1,0,0,1,0
"59371",1,0,1,1,1.38629436111989,43,18.49,1,3,1,1,2,0,1,0,0,1,0,1,0
"59372",0,1,1,1,2.19722457733622,39,15.21,0,5,1,0,2,0,0,1,NA,NA,0,1,0
"59373",1,1,0,0,2.30258509299405,38,14.44,1,5,0,0,1,0,0,0,1,0,0,1,0
"59374",1,1,1,0,2.19722457733622,54,29.16,0,3,1,0,1,0,0,1,NA,NA,0,1,0
"59375",1,0,1,1,2.30258509299405,30,9,1,8,0,0,4,0,0,0,1,0,0,0,1
"59376",1,0,0,1,2.30258509299405,48,23.04,0,6,1,0,1,0,0,0,1,0,1,0,0
"59377",1,0,0,1,1.94591014905531,31,9.61,1,6,0,1,NA,0,0,1,1,0,0,1,0
"59378",1,NA,1,1,2.19722457733622,35,12.25,0,6,1,1,2,0,0,1,1,0,0,1,0
"59379",1,0,0,1,2.30258509299405,41,16.81,0,6,1,0,1,0,0,0,1,0,0,1,0
"59380",1,1,0,1,1.94591014905531,61,37.21,1,8,1,0,3,0,0,1,1,0,0,1,0
"59381",0,1,0,1,2.30258509299405,31,9.61,0,6,1,1,2,0,0,0,NA,NA,0,1,0
"59382",0,0,1,0,1.38629436111989,24,5.76,1,7,0,0,2,0,0,1,NA,NA,0,1,0
"59383",1,1,1,1,1.38629436111989,63,39.69,0,3,1,0,1,0,0,1,NA,NA,0,1,0
"59384",1,0,0,0,2.19722457733622,87,75.69,0,5,1,0,3,0,0,1,NA,NA,0,1,0
"59385",1,1,1,1,0,32,10.24,1,6,0,0,5,0,0,1,1,0,0,1,0
"59386",1,0,0,0,1.94591014905531,25,6.25,0,7,0,0,4,1,0,0,1,0,1,0,0
"59387",0,1,0,0,0,23,5.29,1,8,0,0,4,0,0,1,NA,NA,0,1,0
"59388",0,NA,0,1,2.19722457733622,36,12.96,0,6,1,1,NA,0,0,1,NA,NA,0,1,0
"59389",1,1,1,0,1.70474809223843,70,49,1,4,1,1,1,0,0,0,NA,NA,0,0,1
"59390",0,1,1,1,1.70474809223843,42,17.64,0,6,1,0,1,0,0,0,1,0,0,1,0
"59391",1,1,1,1,1.79175946922805,41,16.81,1,5,0,0,NA,1,0,0,NA,NA,0,1,0
"59392",0,0,0,0,1.70474809223843,50,25,1,3,1,0,1,0,0,0,0,1,0,1,0
"59393",1,0,0,0,2.30258509299405,45,20.25,0,1,1,1,2,0,0,0,NA,NA,0,1,0
"59394",0,0,0,1,2.19722457733622,22,4.84,1,6,0,0,NA,0,0,1,0,1,0,1,0
"59395",1,1,1,0,2.56494935746154,34,11.56,0,6,1,1,5,0,0,1,1,0,1,0,0
"59396",1,1,1,1,0,58,33.64,1,6,1,1,2,0,0,1,NA,NA,0,1,0
"59397",0,0,0,1,0,24,5.76,1,7,0,0,3,0,0,1,NA,NA,0,1,0
"59398",1,1,1,1,0,75,56.25,1,3,1,1,1,0,0,1,NA,NA,0,1,0
"59399",1,1,1,0,2.30258509299405,49,24.01,0,6,1,NA,5,0,0,0,1,0,0,0,1
"59400",1,NA,0,1,1.70474809223843,51,26.01,0,7,1,0,NA,0,0,0,NA,NA,0,1,0
"59401",1,0,0,1,2.19722457733622,25,6.25,0,6,0,0,4,0,0,1,0,1,0,0,1
"59402",1,0,0,1,2.30258509299405,45,20.25,0,8,1,1,5,0,0,1,1,0,0,1,0
"59403",1,1,1,1,2.30258509299405,34,11.56,1,6,1,0,3,0,0,1,1,0,0,0,1
"59404",1,0,0,1,2.30258509299405,70,49,1,6,1,1,NA,0,0,1,NA,NA,0,1,0
"59405",1,0,0,0,1.94591014905531,82,67.24,1,3,1,1,1,0,0,1,1,0,0,1,0
"59406",1,0,0,1,2.30258509299405,33,10.89,1,7,1,0,5,0,0,0,1,0,0,1,0
"59407",1,0,0,1,0,52,27.04,1,7,1,0,4,0,0,1,NA,NA,0,1,0
"59408",1,0,1,1,2.19722457733622,37,13.69,0,8,1,0,2,0,0,1,NA,NA,1,0,0
"59409",1,0,1,1,2.39789527279837,36,12.96,1,7,1,0,1,1,0,0,0,0,0,1,0
"59410",1,0,0,1,2.39789527279837,66,43.56,0,1,1,0,4,1,0,0,NA,NA,0,1,0
"59411",1,0,0,1,2.30258509299405,27,7.29,0,8,0,0,3,0,0,0,1,0,0,1,0
"59412",1,1,1,1,0,52,27.04,0,3,1,0,2,0,0,1,NA,NA,0,1,0
"59413",1,0,0,1,0,43,18.49,0,3,1,0,4,0,0,1,NA,NA,0,1,0
"59414",0,NA,0,0,1.38629436111989,60,36,1,3,1,0,1,0,1,0,0,0,0,1,0
"59415",1,0,0,1,0,33,10.89,0,6,1,0,1,0,0,1,1,0,0,1,0
"59416",1,0,0,1,0,42,17.64,0,6,1,0,1,0,0,1,NA,NA,0,1,0
"59417",1,0,0,1,0,37,13.69,0,6,1,1,3,0,0,1,NA,NA,0,1,0
"59418",1,NA,1,0,1.70474809223843,44,19.36,0,6,1,1,3,0,0,0,1,0,0,1,0
"59419",1,1,1,1,1.38629436111989,28,7.84,1,6,1,0,5,0,1,0,1,0,0,1,0
"59420",1,0,0,1,2.07944154167984,49,24.01,0,3,1,0,1,1,0,0,0,1,0,1,0
"59421",1,1,1,1,1.70474809223843,61,37.21,1,3,1,0,NA,0,0,0,1,0,0,1,0
"59422",1,0,0,0,0,70,49,0,1,1,0,1,1,0,0,NA,NA,0,1,0
"59423",1,1,0,1,0,58,33.64,1,3,1,0,NA,1,0,0,NA,NA,0,1,0
"59424",1,0,0,0,0,64,40.96,1,1,1,0,NA,1,0,0,NA,NA,0,1,0
"59425",1,NA,1,1,0,34,11.56,1,6,1,0,1,1,0,0,0,1,1,0,0
"59426",0,NA,1,0,2.30258509299405,30,9,0,6,1,0,5,0,0,0,1,0,0,1,0
"59427",1,0,0,0,2.30258509299405,72,51.84,1,6,1,0,5,0,0,0,NA,NA,0,1,0
"59428",1,0,1,1,0,46,21.16,0,5,1,0,2,1,0,0,NA,NA,1,0,0
"59429",1,0,0,0,0,26,6.76,0,7,0,0,3,1,0,0,1,0,0,1,0
"59430",0,0,0,1,1.09861228866811,31,9.61,0,7,1,0,2,0,0,1,1,0,0,0,1
"59431",1,0,0,0,2.30258509299405,37,13.69,1,8,1,0,5,0,0,0,1,0,0,1,0
"59432",1,1,1,1,1.38629436111989,78,60.84,1,6,1,0,5,0,0,1,NA,NA,0,0,1
"59433",1,1,1,0,1.79175946922805,32,10.24,1,6,1,1,1,0,0,1,0,1,1,0,0
"59434",1,0,0,1,2.07944154167984,34,11.56,0,5,1,0,3,1,0,0,0,1,0,1,0
"59435",1,1,1,0,2.07944154167984,28,7.84,1,8,0,0,5,0,0,1,1,0,0,0,1
"59436",1,0,0,0,2.19722457733622,59,34.81,0,3,1,0,NA,0,0,1,NA,NA,0,1,0
"59437",0,NA,0,1,2.19722457733622,28,7.84,0,6,1,0,1,1,0,0,1,0,0,1,0
"59438",0,0,0,0,2.19722457733622,27,7.29,1,7,1,0,NA,1,0,0,0,1,0,1,0
"59439",1,NA,0,1,2.19722457733622,66,43.56,0,3,1,0,2,0,0,1,0,0,0,1,0
"59440",0,0,0,0,2.19722457733622,27,7.29,1,7,0,0,3,0,0,1,1,0,0,1,0
"59441",1,0,0,1,1.38629436111989,30,9,1,6,1,1,1,1,0,0,1,0,0,1,0
"59442",1,0,0,1,1.94591014905531,51,26.01,0,8,1,0,4,0,0,1,1,0,0,1,0
